bloque,categoria_de_recomendacion,recomendacion,que_dicen_las_guias_del_bloque,consenso_del_bloque,n_guias_con_recomendacion,n_guias_bloque,cobertura,guias_con_recomendacion,accion_dominante_bloque,perfil_acciones_bloque,senal_comparativa_global,prioridad_revision,relevancia_spec,total_recomendaciones_global,recomendaciones_en_bloque
Bloque moderado-alto: AGREE-II 50-60%,Antipsychotic strategy across illness phases,"Dose, titration and adequate trial duration","RANZCP 2016: recomienda (2 recs; recomienda=1; evalua/monitoriza=1). Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion. Canada Farmaco 2017: ofrece (2 recs; ofrece=2). Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion. WHO mhGAP 2024: recomienda (1 rec; recomienda=1). Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion. RANZCP GRADE 2026: considera/sugiere (1 rec; considera/sugiere=1). Tratar cada antipsicotico como ensayo terapeutico explicito: iniciar y titular segun tolerancia, usar dosis y duracion adecuadas, revisar PRN y evitar escalamiento rapido o dosis altas sin justificacion. Sin recomendacion retenida: Canada Dx 2017; Canada Psicosocial 2017.",Moderado: 4/6 (67%); discordante; accion dominante: recomienda; recomienda=2; ofrece=2; considera/sugiere=1; evalua/monitoriza=1,4,6,67%,Canada Farmaco 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,recomienda,recomienda=2; ofrece=2; considera/sugiere=1; evalua/monitoriza=1,mixed/discordant,high,core,28,6
Bloque moderado-alto: AGREE-II 50-60%,Psychosocial and recovery interventions,CBTp and psychological therapies,"RANZCP 2016: recomienda (1 rec; recomienda=1). Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles. Canada Psicosocial 2017: ofrece (2 recs; ofrece=2). Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles. WHO mhGAP 2024: ofrece (2 recs; ofrece=1; considera/sugiere=1). Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles. RANZCP GRADE 2026: ofrece (3 recs; recomienda=1; ofrece=2). Ofrecer o considerar CBTp/manualizada para psicosis, en fase aguda o posterior, especialmente si hay sintomas persistentes; la psicoterapia de apoyo no debe reemplazar intervenciones psicologicas con mayor soporte cuando estas estan disponibles. Sin recomendacion retenida: Canada Dx 2017; Canada Farmaco 2017.",Moderado: 4/6 (67%); discordante; accion dominante: ofrece; recomienda=2; ofrece=5; considera/sugiere=1,4,6,67%,Canada Psicosocial 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,ofrece,recomienda=2; ofrece=5; considera/sugiere=1,mixed/discordant,high,core,29,8
Bloque moderado-alto: AGREE-II 50-60%,Early psychosis and acute care,First episode psychosis and early intervention,"RANZCP 2016: considera/sugiere (1 rec; considera/sugiere=1). Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion. Canada Dx 2017: considera/sugiere (2 recs; considera/sugiere=1; evalua/monitoriza=1). Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion. Canada Farmaco 2017: recomienda (1 rec; recomienda=1). Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion. WHO mhGAP 2024: ofrece (1 rec; ofrece=1). Evaluar rapidamente el primer episodio, derivar a servicios de intervencion temprana, ofrecer antipsicotico oral mas intervenciones psicosociales/familiares y realizar estudio clinico-basico segun indicacion. Sin recomendacion retenida: Canada Psicosocial 2017; RANZCP GRADE 2026.",Moderado: 4/6 (67%); alineado/escaso; accion dominante: considera/sugiere; recomienda=1; ofrece=1; considera/sugiere=2; evalua/monitoriza=1,4,6,67%,Canada Farmaco 2017; Canada Dx 2017; RANZCP 2016; WHO mhGAP 2024,considera/sugiere,recomienda=1; ofrece=1; considera/sugiere=2; evalua/monitoriza=1,broad recurrent theme,medium,core,21,5
Bloque moderado-alto: AGREE-II 50-60%,Psychosocial and recovery interventions,Family intervention and psychoeducation,"RANZCP 2016: ofrece (1 rec; ofrece=1). Ofrecer intervencion familiar y psicoeducacion a familias/cuidadores en contacto cercano, con consentimiento; incluir informacion sobre enfermedad, tratamiento, recaida, apoyo al cuidador y sesiones estructuradas durante varios meses. Canada Psicosocial 2017: ofrece (1 rec; ofrece=1). Ofrecer intervencion familiar y psicoeducacion a familias/cuidadores en contacto cercano, con consentimiento; incluir informacion sobre enfermedad, tratamiento, recaida, apoyo al cuidador y sesiones estructuradas durante varios meses. WHO mhGAP 2024: ofrece (3 recs; recomienda=1; ofrece=2). Ofrecer intervencion familiar y psicoeducacion a familias/cuidadores en contacto cercano, con consentimiento; incluir informacion sobre enfermedad, tratamiento, recaida, apoyo al cuidador y sesiones estructuradas durante varios meses. RANZCP GRADE 2026: ofrece (4 recs; ofrece=2; evalua/monitoriza=2). Ofrecer intervencion familiar y psicoeducacion a familias/cuidadores en contacto cercano, con consentimiento; incluir informacion sobre enfermedad, tratamiento, recaida, apoyo al cuidador y sesiones estructuradas durante varios meses. Sin recomendacion retenida: Canada Dx 2017; Canada Farmaco 2017.",Moderado: 4/6 (67%); alineado/escaso; accion dominante: ofrece; recomienda=1; ofrece=6; evalua/monitoriza=2,4,6,67%,Canada Psicosocial 2017; RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,ofrece,recomienda=1; ofrece=6; evalua/monitoriza=2,broad recurrent theme,medium,core,27,9
Bloque moderado-alto: AGREE-II 50-60%,Antipsychotic strategy across illness phases,Maintenance treatment and relapse prevention,"Canada Dx 2017: evalua/monitoriza (1 rec; evalua/monitoriza=1). Continuar el antipsicotico efectivo tras mejoria, con plan de prevencion de recaidas, revision de beneficios/riesgos y duracion individualizada; evitar suspensiones sin seguimiento. Canada Farmaco 2017: ofrece (2 recs; ofrece=2). Continuar el antipsicotico efectivo tras mejoria, con plan de prevencion de recaidas, revision de beneficios/riesgos y duracion individualizada; evitar suspensiones sin seguimiento. WHO mhGAP 2024: evalua/monitoriza (1 rec; evalua/monitoriza=1). Continuar el antipsicotico efectivo tras mejoria, con plan de prevencion de recaidas, revision de beneficios/riesgos y duracion individualizada; evitar suspensiones sin seguimiento. RANZCP GRADE 2026: ofrece (1 rec; ofrece=1). Continuar el antipsicotico efectivo tras mejoria, con plan de prevencion de recaidas, revision de beneficios/riesgos y duracion individualizada; evitar suspensiones sin seguimiento. Sin recomendacion retenida: RANZCP 2016; Canada Psicosocial 2017.",Moderado: 4/6 (67%); discordante; accion dominante: ofrece; ofrece=3; evalua/monitoriza=2,4,6,67%,Canada Farmaco 2017; Canada Dx 2017; RANZCP GRADE 2026; WHO mhGAP 2024,ofrece,ofrece=3; evalua/monitoriza=2,mixed/discordant,high,core,20,5
Bloque moderado-alto: AGREE-II 50-60%,Comorbidity and special populations,"Depression, anxiety, PTSD and trauma","Canada Dx 2017: evalua/monitoriza (1 rec; evalua/monitoriza=1). Evaluar trauma, depresion, ansiedad, PTSD y sintomas afectivos; tratar comorbilidades segun guias especificas; considerar antidepresivos/SSRI con cautela y solo cuando el balance beneficio-riesgo lo justifique. Canada Farmaco 2017: recomienda (1 rec; recomienda=1). Evaluar trauma, depresion, ansiedad, PTSD y sintomas afectivos; tratar comorbilidades segun guias especificas; considerar antidepresivos/SSRI con cautela y solo cuando el balance beneficio-riesgo lo justifique. RANZCP GRADE 2026: ofrece (2 recs; ofrece=2). Evaluar trauma, depresion, ansiedad, PTSD y sintomas afectivos; tratar comorbilidades segun guias especificas; considerar antidepresivos/SSRI con cautela y solo cuando el balance beneficio-riesgo lo justifique. Sin recomendacion retenida: RANZCP 2016; Canada Psicosocial 2017; WHO mhGAP 2024.",Moderado: 3/6 (50%); alineado/escaso; accion dominante: ofrece; recomienda=1; ofrece=2; evalua/monitoriza=1,3,6,50%,Canada Farmaco 2017; Canada Dx 2017; RANZCP GRADE 2026,ofrece,recomienda=1; ofrece=2; evalua/monitoriza=1,broad recurrent theme,medium,supportive,13,4
Bloque moderado-alto: AGREE-II 50-60%,Antipsychotic strategy across illness phases,Antipsychotic choice and comparative selection,"RANZCP 2016: recomienda (2 recs; recomienda=2). Seleccionar el antipsicotico mediante decision compartida, considerando respuesta previa, efectos adversos, preferencias, comorbilidades, interacciones, embarazo/reproduccion y necesidad de cambio por no respuesta o intolerancia. Canada Farmaco 2017: recomienda (1 rec; recomienda=1). Seleccionar el antipsicotico mediante decision compartida, considerando respuesta previa, efectos adversos, preferencias, comorbilidades, interacciones, embarazo/reproduccion y necesidad de cambio por no respuesta o intolerancia. WHO mhGAP 2024: ofrece (2 recs; ofrece=1; considera/sugiere=1). Seleccionar el antipsicotico mediante decision compartida, considerando respuesta previa, efectos adversos, preferencias, comorbilidades, interacciones, embarazo/reproduccion y necesidad de cambio por no respuesta o intolerancia. Sin recomendacion retenida: Canada Dx 2017; Canada Psicosocial 2017; RANZCP GRADE 2026.",Moderado: 3/6 (50%); discordante; accion dominante: recomienda; recomienda=3; ofrece=1; considera/sugiere=1,3,6,50%,Canada Farmaco 2017; RANZCP 2016; WHO mhGAP 2024,recomienda,recomienda=3; ofrece=1; considera/sugiere=1,mixed/discordant,high,core,19,5
Bloque moderado-alto: AGREE-II 50-60%,"Safety, adverse effects and physical health","Physical, metabolic and cardiovascular monitoring","Canada Dx 2017: considera/sugiere (1 rec; considera/sugiere=1). Medir y seguir peso, IMC, presion, glucosa, lipidos, salud cardiovascular y ECG cuando corresponda; definir responsable entre salud mental y primaria; intervenir ante aumento de peso o anormalidades metabolicas. RANZCP GRADE 2026: considera/sugiere (2 recs; considera/sugiere=2). Medir y seguir peso, IMC, presion, glucosa, lipidos, salud cardiovascular y ECG cuando corresponda; definir responsable entre salud mental y primaria; intervenir ante aumento de peso o anormalidades metabolicas. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 2/6 (33%); discordante; accion dominante: considera/sugiere; considera/sugiere=3,2,6,33%,Canada Dx 2017; RANZCP GRADE 2026,considera/sugiere,considera/sugiere=3,mixed/discordant,high,core,26,3
Bloque moderado-alto: AGREE-II 50-60%,Comorbidity and special populations,Substance use comorbidity,"RANZCP 2016: considera/sugiere (1 rec; considera/sugiere=1). Evaluar alcohol, cannabis, tabaco y otras sustancias, su impacto en recaidas y adherencia; integrar tratamiento de uso de sustancias; usar toxicologia solo si es clinicamente indicada o acordada, no de rutina universal. Canada Dx 2017: en contra/no hacer (1 rec; en contra/no hacer=1). Evaluar alcohol, cannabis, tabaco y otras sustancias, su impacto en recaidas y adherencia; integrar tratamiento de uso de sustancias; usar toxicologia solo si es clinicamente indicada o acordada, no de rutina universal. Canada Farmaco 2017: considera/sugiere (1 rec; considera/sugiere=1). Evaluar alcohol, cannabis, tabaco y otras sustancias, su impacto en recaidas y adherencia; integrar tratamiento de uso de sustancias; usar toxicologia solo si es clinicamente indicada o acordada, no de rutina universal. Sin recomendacion retenida: Canada Psicosocial 2017; WHO mhGAP 2024; RANZCP GRADE 2026.",Moderado: 3/6 (50%); discordante; accion dominante: considera/sugiere; considera/sugiere=2; en contra/no hacer=1,3,6,50%,Canada Farmaco 2017; Canada Dx 2017; RANZCP 2016,considera/sugiere,considera/sugiere=2; en contra/no hacer=1,mixed/discordant,high,core,9,3
Bloque moderado-alto: AGREE-II 50-60%,"Assessment, risk and shared decision-making","Diagnostic assessment, baseline workup and care planning","Canada Dx 2017: evalua/monitoriza (5 recs; evalua/monitoriza=5). Realizar evaluacion psiquiatrica especializada, examen mental, diagnostico diferencial, riesgo, plan de cuidados, historia de tratamientos y estudios basales fisicos/laboratoriales o neurologicos cuando esten indicados. WHO mhGAP 2024: recomienda (1 rec; recomienda=1). Realizar evaluacion psiquiatrica especializada, examen mental, diagnostico diferencial, riesgo, plan de cuidados, historia de tratamientos y estudios basales fisicos/laboratoriales o neurologicos cuando esten indicados. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 2/6 (33%); discordante; accion dominante: evalua/monitoriza; recomienda=1; evalua/monitoriza=5,2,6,33%,Canada Dx 2017; WHO mhGAP 2024,evalua/monitoriza,recomienda=1; evalua/monitoriza=5,mixed/discordant,high,core,25,6
Bloque moderado-alto: AGREE-II 50-60%,"Safety, adverse effects and physical health",Antipsychotic adverse-effect management,"RANZCP GRADE 2026: recomienda (3 recs; recomienda=2; considera/sugiere=1). Elegir, ajustar o cambiar antipsicotico segun efectos adversos y tolerabilidad; monitorizar y tratar EPS, acatisia, discinesia tardia, prolactina, sedacion, estrenimiento, QTc y riesgos renales/cardiometabolicos. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); discordante; accion dominante: recomienda; recomienda=2; considera/sugiere=1,1,6,17%,RANZCP GRADE 2026,recomienda,recomienda=2; considera/sugiere=1,mixed/discordant,high,core,19,3
Bloque moderado-alto: AGREE-II 50-60%,"Safety, adverse effects and physical health","Weight management, lifestyle and metformin","RANZCP 2016: considera/sugiere (2 recs; considera/sugiere=1; evalua/monitoriza=1). Ofrecer dieta saludable y actividad fisica; intervenir ante aumento de peso o alteraciones metabolicas; considerar metformina, cambio de antipsicotico u otras medidas cardiometabolicas segun riesgo. RANZCP GRADE 2026: ofrece (4 recs; ofrece=3; considera/sugiere=1). Ofrecer dieta saludable y actividad fisica; intervenir ante aumento de peso o alteraciones metabolicas; considerar metformina, cambio de antipsicotico u otras medidas cardiometabolicas segun riesgo. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 2/6 (33%); discordante; accion dominante: ofrece; ofrece=3; considera/sugiere=2; evalua/monitoriza=1,2,6,33%,RANZCP GRADE 2026; RANZCP 2016,ofrece,ofrece=3; considera/sugiere=2; evalua/monitoriza=1,mixed/discordant,high,supportive,12,6
Bloque moderado-alto: AGREE-II 50-60%,Functional rehabilitation and participation,"Supported employment, education and vocational rehabilitation","Canada Psicosocial 2017: recomienda (3 recs; recomienda=1; ofrece=1; evalua/monitoriza=1). Ofrecer empleo apoyado/IPS a quienes desean trabajar o volver a estudiar/trabajar; considerar apoyo educativo, vocacional o prevocacional si no puede acceder aun a empleo competitivo. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); discordante; accion dominante: recomienda; recomienda=1; ofrece=1; evalua/monitoriza=1,1,6,17%,Canada Psicosocial 2017,recomienda,recomienda=1; ofrece=1; evalua/monitoriza=1,mixed/discordant,high,supportive,20,3
Bloque moderado-alto: AGREE-II 50-60%,"Safety, adverse effects and physical health",Smoking cessation and tobacco,"Canada Dx 2017: evalua/monitoriza (1 rec; evalua/monitoriza=1). Evaluar tabaco y ofrecer apoyo personalizado para dejar o reducir consumo, incluyendo intervenciones conductuales, NRT u otros farmacos cuando correspondan; considerar interacciones con metabolismo de antipsicoticos. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); discordante; accion dominante: evalua/monitoriza; evalua/monitoriza=1,1,6,17%,Canada Dx 2017,evalua/monitoriza,evalua/monitoriza=1,mixed/discordant,high,peripheral,9,1
Bloque moderado-alto: AGREE-II 50-60%,"Service delivery, continuity and implementation","Primary care transition, discharge and follow-up continuity","RANZCP 2016: considera/sugiere (1 rec; considera/sugiere=1). Planificar alta, continuidad y opcion de auto-derivacion; comunicar responsabilidades a atencion primaria; usar equipos de crisis/tratamiento domiciliario para evitar ingresos o facilitar alta segura. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); alineado/escaso; accion dominante: considera/sugiere; considera/sugiere=1,1,6,17%,RANZCP 2016,considera/sugiere,considera/sugiere=1,mostly aligned or sparse,low,supportive,10,1
Bloque moderado-alto: AGREE-II 50-60%,Treatment resistance and biological interventions,Clozapine safety and monitoring,"WHO mhGAP 2024: ofrece (1 rec; ofrece=1). Usar clozapina bajo supervision especializada con disponibilidad de laboratorios; monitorizar hemograma, niveles plasmaticos, adherencia y efectos adversos; planificar discontinuacion por riesgo de rebote o recaida. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); alineado/escaso; accion dominante: ofrece; ofrece=1,1,6,17%,WHO mhGAP 2024,ofrece,ofrece=1,mostly aligned or sparse,low,core,9,1
Bloque moderado-alto: AGREE-II 50-60%,Psychosocial and recovery interventions,"Social skills, recovery and self-management","Canada Psicosocial 2017: recomienda (1 rec; recomienda=1). Considerar programas manualizados de automanejo, apoyo de pares y recuperacion; incluir informacion sobre medicacion, recaida y metas; el entrenamiento de habilidades sociales no se recomienda de rutina como intervencion aislada en algunas guias. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); discordante; accion dominante: recomienda; recomienda=1,1,6,17%,Canada Psicosocial 2017,recomienda,recomienda=1,mixed/discordant,high,supportive,18,1
Bloque moderado-alto: AGREE-II 50-60%,"Service delivery, continuity and implementation","ACT, case management and community service models","RANZCP 2016: considera/sugiere (1 rec; considera/sugiere=1). Usar ACT, manejo intensivo de casos o atencion comunitaria coordinada cuando hay mala vinculacion, recaidas frecuentes, disrupcion social, falta de vivienda o alta necesidad de continuidad. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); alineado/escaso; accion dominante: considera/sugiere; considera/sugiere=1,1,6,17%,RANZCP 2016,considera/sugiere,considera/sugiere=1,mostly aligned or sparse,low,supportive,16,1
Bloque moderado-alto: AGREE-II 50-60%,"Assessment, risk and shared decision-making","Risk assessment: suicide, aggression and immediate safety","Canada Dx 2017: evalua/monitoriza (1 rec; evalua/monitoriza=1). Evaluar suicidio, autoagresion, agresion, violencia y seguridad inmediata en la valoracion; activar rutas de crisis o guias de autolesion cuando haya riesgo. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); alineado/escaso; accion dominante: evalua/monitoriza; evalua/monitoriza=1,1,6,17%,Canada Dx 2017,evalua/monitoriza,evalua/monitoriza=1,mostly aligned or sparse,low,core,4,1
Bloque moderado-alto: AGREE-II 50-60%,"Assessment, risk and shared decision-making",Shared decision-making and patient preferences,"Canada Dx 2017: recomienda (1 rec; recomienda=1). Tomar decisiones con la persona y, si consiente, cuidadores; discutir beneficios, efectos adversos y preferencias; acordar planes de medicacion, transicion y objetivos de tratamiento. Canada Psicosocial 2017: considera/sugiere (1 rec; considera/sugiere=1). Tomar decisiones con la persona y, si consiente, cuidadores; discutir beneficios, efectos adversos y preferencias; acordar planes de medicacion, transicion y objetivos de tratamiento. Sin recomendacion retenida: 4 guias del bloque.",Bajo: 2/6 (33%); alineado/escaso; accion dominante: recomienda; recomienda=1; considera/sugiere=1,2,6,33%,Canada Psicosocial 2017; Canada Dx 2017,recomienda,recomienda=1; considera/sugiere=1,mostly aligned or sparse,low,core,7,2
Bloque moderado-alto: AGREE-II 50-60%,Early psychosis and acute care,"Acute agitation, rapid tranquillisation and crisis setting",Sin recomendacion retenida: 6 guias del bloque.,Ausente: 0/6 (0%); discordante; sin recomendaciones retenidas,0,6,0%,ninguna,sin recomendaciones,sin recomendaciones,mixed/discordant,high,core,16,0
Bloque moderado-alto: AGREE-II 50-60%,Comorbidity and special populations,Negative symptoms,"Canada Dx 2017: evalua/monitoriza (3 recs; evalua/monitoriza=3). Evaluar sintomas negativos y causas secundarias como depresion, EPS, sedacion o sustancias; considerar intervenciones psicosociales/artisticas y, si se cambia antipsicotico, opciones como agonistas parciales D2 o amisulprida segun contexto. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); alineado/escaso; accion dominante: evalua/monitoriza; evalua/monitoriza=3,1,6,17%,Canada Dx 2017,evalua/monitoriza,evalua/monitoriza=3,mostly aligned or sparse,low,supportive,7,3
Bloque moderado-alto: AGREE-II 50-60%,Comorbidity and special populations,"Culture, equity, age and other special populations","RANZCP 2016: recomienda (3 recs; recomienda=3). Adaptar la atencion a contexto cultural, edad y equidad; buscar supervision transcultural cuando sea necesario; usar antipsicoticos en adolescentes u otros grupos especiales bajo supervision especializada. WHO mhGAP 2024: considera/sugiere (1 rec; considera/sugiere=1). Adaptar la atencion a contexto cultural, edad y equidad; buscar supervision transcultural cuando sea necesario; usar antipsicoticos en adolescentes u otros grupos especiales bajo supervision especializada. RANZCP GRADE 2026: evalua/monitoriza (1 rec; evalua/monitoriza=1). Adaptar la atencion a contexto cultural, edad y equidad; buscar supervision transcultural cuando sea necesario; usar antipsicoticos en adolescentes u otros grupos especiales bajo supervision especializada. Sin recomendacion retenida: Canada Dx 2017; Canada Psicosocial 2017; Canada Farmaco 2017.",Moderado: 3/6 (50%); alineado/escaso; accion dominante: recomienda; recomienda=3; considera/sugiere=1; evalua/monitoriza=1,3,6,50%,RANZCP GRADE 2026; RANZCP 2016; WHO mhGAP 2024,recomienda,recomienda=3; considera/sugiere=1; evalua/monitoriza=1,mostly aligned or sparse,low,peripheral,8,5
Bloque moderado-alto: AGREE-II 50-60%,Early psychosis and acute care,At-risk mental state and prevention of psychosis,Sin recomendacion retenida: 6 guias del bloque.,Ausente: 0/6 (0%); discordante; sin recomendaciones retenidas,0,6,0%,ninguna,sin recomendaciones,sin recomendaciones,mixed/discordant,high,supportive,4,0
Bloque moderado-alto: AGREE-II 50-60%,Treatment resistance and biological interventions,ECT and other biological treatments,"RANZCP 2016: considera/sugiere (1 rec; considera/sugiere=1). Considerar ECT u otras intervenciones biologicas en situaciones seleccionadas, como catatonia, cuadros graves o resistencia cuando clozapina no es viable; documentar parametros, respuesta y seguridad. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); alineado/escaso; accion dominante: considera/sugiere; considera/sugiere=1,1,6,17%,RANZCP 2016,considera/sugiere,considera/sugiere=1,mostly aligned or sparse,low,supportive,4,1
Bloque moderado-alto: AGREE-II 50-60%,Psychosocial and recovery interventions,"Cognitive remediation, metacognitive and social cognition training",Sin recomendacion retenida: 6 guias del bloque.,Ausente: 0/6 (0%); alineado/escaso; sin recomendaciones retenidas,0,6,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,supportive,9,0
Bloque moderado-alto: AGREE-II 50-60%,Psychosocial and recovery interventions,Combined pharmacological and psychosocial care,"RANZCP GRADE 2026: considera/sugiere (1 rec; considera/sugiere=1). Combinar farmacoterapia antipsicotica con intervenciones psicosociales, familiares, CBTp o rehabilitacion segun fase, necesidades funcionales y nivel de atencion. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); alineado/escaso; accion dominante: considera/sugiere; considera/sugiere=1,1,6,17%,RANZCP GRADE 2026,considera/sugiere,considera/sugiere=1,mostly aligned or sparse,low,core,3,1
Bloque moderado-alto: AGREE-II 50-60%,Comorbidity and special populations,"Pregnancy, reproductive and perinatal care","RANZCP 2016: recomienda (1 rec; recomienda=1). Discutir anticoncepcion, embarazo, lactancia y riesgos reproductivos con la paciente y apoyo significativo; coordinar atencion perinatal/madre-bebe y monitorizar riesgos de medicacion y recaida. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); alineado/escaso; accion dominante: recomienda; recomienda=1,1,6,17%,RANZCP 2016,recomienda,recomienda=1,mostly aligned or sparse,low,supportive,6,1
Bloque moderado-alto: AGREE-II 50-60%,Early psychosis and acute care,Acute antipsychotic initiation,Sin recomendacion retenida: 6 guias del bloque.,Ausente: 0/6 (0%); discordante; sin recomendaciones retenidas,0,6,0%,ninguna,sin recomendaciones,sin recomendaciones,mixed/discordant,high,core,6,0
Bloque moderado-alto: AGREE-II 50-60%,Antipsychotic strategy across illness phases,Antipsychotic polypharmacy and combinations,Sin recomendacion retenida: 6 guias del bloque.,Ausente: 0/6 (0%); alineado/escaso; sin recomendaciones retenidas,0,6,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,supportive,3,0
Bloque moderado-alto: AGREE-II 50-60%,Antipsychotic strategy across illness phases,Switching and non-response before clozapine,Sin recomendacion retenida: 6 guias del bloque.,Ausente: 0/6 (0%); alineado/escaso; sin recomendaciones retenidas,0,6,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,core,1,0
Bloque moderado-alto: AGREE-II 50-60%,Antipsychotic strategy across illness phases,"Discontinuation, tapering and dose reduction",Sin recomendacion retenida: 6 guias del bloque.,Ausente: 0/6 (0%); alineado/escaso; sin recomendaciones retenidas,0,6,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,supportive,2,0
Bloque moderado-alto: AGREE-II 50-60%,Psychosocial and recovery interventions,"Arts, mindfulness, digital and adjunctive psychosocial interventions",Sin recomendacion retenida: 6 guias del bloque.,Ausente: 0/6 (0%); alineado/escaso; sin recomendaciones retenidas,0,6,0%,ninguna,sin recomendaciones,sin recomendaciones,mostly aligned or sparse,low,peripheral,1,0
Bloque moderado-alto: AGREE-II 50-60%,"Service delivery, continuity and implementation",Prescribing governance and off-label documentation,"RANZCP 2016: recomienda (1 rec; recomienda=1). Documentar cuidadosamente el uso off-label, indicacion clinica, razonamiento, consentimiento/beneficio-riesgo y requisitos de cobertura o subsidio cuando corresponda. Sin recomendacion retenida: 5 guias del bloque.",Escaso: 1/6 (17%); alineado/escaso; accion dominante: recomienda; recomienda=1,1,6,17%,RANZCP 2016,recomienda,recomienda=1,mostly aligned or sparse,low,peripheral,1,1
Bloque moderado-alto: AGREE-II 50-60%,"Assessment, risk and shared decision-making",Measurement-based monitoring and symptom assessment,Sin recomendacion retenida: 6 guias del bloque.,Ausente: 0/6 (0%); alineado/escaso; sin recomendaciones retenidas,0,6,0%,ninguna,sin recomendaciones,sin recomendaciones,not captured after curation,low,supportive,0,0
